"Nome da conta","Nome da campanha","Nome do conjunto de anúncios","Nome do anúncio","Identificação da conta","Identificação da campanha","Identificação do conjunto de anúncios","Identificação do anúncio",Anúncios,Idade,Gênero,Dia,Alcance,Impressões,Frequência,Moeda,"Valor usado (BRL)","Configuração de atribuição","Custo por lead",Leads,"Cliques no link","CTR (todos)","CPM (custo por 1.000 impressões)","CPC (custo por clique no link)","CPC (todos)",Visualizações,"Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Orçamento da campanha","Tipo de orçamento da campanha","Início dos relatórios","Encerramento dos relatórios"
"Conta Kia Sun Motors",CP01_sportage_[inicio_08/09],CJ01_sportage_amplo,AD015_sportage_img_[04/03],277844195704332,6915514980415,6915514981215,6991218029015,AD015_sportage_img_[04/03],18-24,male,2026-03-31,21,24,1.14285714,BRL,0.23,"Clique de 7 dias ou visualização de 1 dia",,,,0,9.58333333,,0,,"Using campaign budget",Daily,25,Daily,2026-03-31,2026-03-31
"Conta Kia Sun Motors",CPE04_festival-seminovos_[inicio_11/02],CJE_amplo_seminovos_diversos,AD04_seminovos_carrossel_[20/03],277844195704332,6980813028015,6980813028615,6999332623815,AD04_seminovos_carrossel_[20/03],18-24,male,2026-03-31,8,8,1,BRL,0.17,"Clique de 7 dias ou visualização de 1 dia",,,,0,21.25,,0,,"Using campaign budget",Daily,10,Daily,2026-03-31,2026-03-31
"Conta Kia Sun Motors",CP06_bongo_[inicio_01/01],"cj02 - AMPLO - Imagem- RS",AD02_bongo_img_[24/11],277844195704332,6662637016215,6662637322615,6947902635015,AD02_bongo_img_[24/11],18-24,male,2026-03-31,10,11,1.1,BRL,0.07,"Clique de 7 dias ou visualização de 1 dia",,,,0,6.36363636,,0,,50,Daily,"Using ad set budget",,2026-03-31,2026-03-31
"Conta Kia Sun Motors",CPE04_festival-seminovos_[inicio_11/02],CJE_amplo_seminovos_diversos,AD03_seminovos_img_[20/03],277844195704332,6980813028015,6980813028615,6999332290015,AD03_seminovos_img_[20/03],18-24,male,2026-03-31,16,19,1.1875,BRL,0.11,"Clique de 7 dias ou visualização de 1 dia",,,1,5.26315789,5.78947368,0.11,0.11,,"Using campaign budget",Daily,10,Daily,2026-03-31,2026-03-31
"Conta Haojue Sun Motors",CP06_master-ride-150_[inicio_08/09],CJ01_master_ride_amplo,AD01_master_ride_img_[08/09],184629203219671,120231323193670298,120231323193700298,120231323193930298,AD01_master_ride_img_[08/09],18-24,unknown,2026-03-31,1,1,1,BRL,0.02,"Clique de 7 dias ou visualização de 1 dia",,,,0,20,,0,,"Using campaign budget",Daily,25,Daily,2026-03-31,2026-03-31
"Conta Suzuki Sun Motors",CP09_gsx-s1000+gsx-s1000-gx_[inicio_05/02],CJ01_gsx-s1000+gsx-s1000-gx_amplo,AD04_gsx-s1000-gx_img_[08/12],722911362773979,120239355257350599,120239355257340599,120239355257310599,AD04_gsx-s1000-gx_img_[08/12],18-24,unknown,2026-03-31,1,1,1,BRL,0.01,"Clique de 7 dias ou visualização de 1 dia",,,,0,10,,0,,"Using campaign budget",Daily,18,Daily,2026-03-31,2026-03-31
"Conta Haojue Sun Motors",CP07_nk-150_[inicio_18/09],CJ01_nk150_amplo,AD08_nk150_img_[01/12],184629203219671,120231793936550298,120231793936530298,120236167397160298,AD08_nk150_img_[01/12],18-24,unknown,2026-03-31,3,3,1,BRL,0.01,"Clique de 7 dias ou visualização de 1 dia",,,,0,3.33333333,,0,,"Using campaign budget",Daily,10,Daily,2026-03-31,2026-03-31
"Conta Haojue Sun Motors",CP04_dr-160_[inicio_01/01],"[Amanita] Always On | DR160 - Amplo",AD07_dr160_img_[06/01],184629203219671,120218349708790298,120218349708850298,120237818342340298,AD07_dr160_img_[06/01],18-24,unknown,2026-03-31,8,8,1,BRL,0.08,"Clique de 7 dias ou visualização de 1 dia",,,,0,10,,0,,"Using campaign budget",Daily,10,Daily,2026-03-31,2026-03-31
"Conta Haojue Sun Motors",CP08_dk-160_[inicio_14/10],CJ01_dk160_amplo,AD06_dk160_img_[06/01],184629203219671,120233157487530298,120233157487570298,120237818393430298,AD06_dk160_img_[06/01],18-24,unknown,2026-03-31,2,3,1.5,BRL,0.03,"Clique de 7 dias ou visualização de 1 dia",,,,0,10,,0,,"Using campaign budget",Daily,25,Daily,2026-03-31,2026-03-31
"Conta Haojue Sun Motors",CP05_dl-160_[inicio_01/01],"[Amanita] Always On | DL160 - Amplo",AD07_dl160_img_[08/01],184629203219671,120228417084420298,120228417084570298,120237922343140298,AD07_dl160_img_[08/01],18-24,unknown,2026-03-31,1,1,1,BRL,0.01,"Clique de 7 dias ou visualização de 1 dia",,,,0,10,,0,,"Using campaign budget",Daily,20,Daily,2026-03-31,2026-03-31
