"Nome da conta","Nome da campanha","Nome do conjunto de anúncios","Nome do anúncio","Identificação da conta","Identificação da campanha","Identificação do conjunto de anúncios","Identificação do anúncio",Anúncios,Idade,Gênero,Dia,Alcance,Impressões,Frequência,Moeda,"Valor usado (BRL)","Configuração de atribuição","Custo por lead",Leads,"Cliques no link","CTR (todos)","CPM (custo por 1.000 impressões)","CPC (custo por clique no link)","CPC (todos)",Visualizações,"Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Orçamento da campanha","Tipo de orçamento da campanha","Início dos relatórios","Término dos relatórios"
"Conta Haojue Sun Motors",CPE04_[carnaval_ofertas_inicio_02/02]],CJE01_[carnaval_ofertas],AD08_e-350_img_[06/02],184629203219671,120238736778790298,120238736778820298,120239028196290298,AD08_e-350_img_[06/02],18-24,male,2026-02-28,1,1,1,BRL,0.01,"Clique de 7 dias ou visualização de 1 dia",,,,0,10,,0,,"Using campaign budget",Daily,40,Daily,2026-02-28,2026-02-28
"Conta Haojue Sun Motors",CPE04_[carnaval_ofertas_inicio_02/02]],CJE01_[carnaval_ofertas],AD011_t-350-x_img_[06/02],184629203219671,120238736778790298,120238736778820298,120239028297650298,AD011_t-350-x_img_[06/02],18-24,male,2026-02-28,1372,1579,1.15087464,BRL,5.68,"Clique de 7 dias ou visualização de 1 dia",5.68,1,9,0.75997467,3.59721343,0.63111111,0.47333333,,"Using campaign budget",Daily,40,Daily,2026-02-28,2026-02-28
"Conta Kia Sun Motors",CP01_sportage_[inicio_08/09],CJ01_sportage_amplo,AD010_sportage_img_[06/01],277844195704332,6915514980415,6915514981215,6966762783815,AD010_sportage_img_[06/01],18-24,male,2026-02-28,13,13,1,BRL,0.06,"Clique de 7 dias ou visualização de 1 dia",,,,0,4.61538462,,0,,"Using campaign budget",Daily,20,Daily,2026-02-28,2026-02-28
"Conta Kia Sun Motors",CP04_carnival_[inicio_01/01],"[Amanita] Always On | KIA | Carnival | AMPLO (ADV)",AD03_carnival_img_[26/01],277844195704332,6819548126415,6880512939215,6974296417015,AD03_carnival_img_[26/01],18-24,male,2026-02-28,6,7,1.16666667,BRL,0.06,"Clique de 7 dias ou visualização de 1 dia",,,,0,8.57142857,,0,,"Using campaign budget",Daily,9,Daily,2026-02-28,2026-02-28
"Conta Kia Sun Motors",CP03_ev5_[inicio_01/01],"[Amanita] Always On | KIA | EV5 | ADV+RMKT",AD04_ev5_img_[26/01],277844195704332,6819551408615,6819551408215,6974317588815,AD04_ev5_img_[26/01],18-24,male,2026-02-28,8,9,1.125,BRL,0.09,"Clique de 7 dias ou visualização de 1 dia",,,,0,10,,0,,"Using campaign budget",Daily,7,Daily,2026-02-28,2026-02-28
"Conta Kia Sun Motors",CP07_sorento_[inicio_27/01],CJ01_sorento_amplo,AD01_sorrento_img_[27/01],277844195704332,6974778338815,6974778338615,6974778337815,AD01_sorrento_img_[27/01],18-24,male,2026-02-28,20,25,1.25,BRL,0.16,"Clique de 7 dias ou visualização de 1 dia",0.16,1,1,8,6.4,0.16,0.08,,"Using campaign budget",Daily,15,Daily,2026-02-28,2026-02-28
"Conta Kia Sun Motors",CP05_niro_[inicio_01/01],"[Amanita] Always On | KIA | Amplo",AD09_niro_img_[18/02],277844195704332,6729879019015,6729879019215,6983252644415,AD09_niro_img_[18/02],18-24,male,2026-02-28,3,4,1.33333333,BRL,0,"Clique de 7 dias ou visualização de 1 dia",,,,0,0,,0,,"Using campaign budget",Daily,20,Daily,2026-02-28,2026-02-28
"Conta Suzuki Sun Motors",CP09_gsx-s1000+gsx-s1000-gx_[inicio_05/02],CJ01_gsx-s1000+gsx-s1000-gx_amplo,AD04_gsx-s1000-gx_img_[08/12],722911362773979,120239355257350599,120239355257340599,120239355257310599,AD04_gsx-s1000-gx_img_[08/12],18-24,male,2026-02-28,37,42,1.13513514,BRL,0.22,"Clique de 7 dias ou visualização de 1 dia",,,1,2.38095238,5.23809524,0.22,0.22,,"Using campaign budget",Daily,18,Daily,2026-02-28,2026-02-28
"Conta Kia Sun Motors",CP06_bongo_[inicio_01/01],"cj02 - AMPLO - Imagem- RS",AD02_bongo_img_[24/11],277844195704332,6662637016215,6662637322615,6947902635015,AD02_bongo_img_[24/11],18-24,male,2026-02-28,17,22,1.29411765,BRL,0.05,"Clique de 7 dias ou visualização de 1 dia",,,,0,2.27272727,,0,,30,Daily,"Using ad set budget",,2026-02-28,2026-02-28
"Conta Kia Sun Motors",CP06_bongo_[inicio_01/01],"cj02 - AMPLO - Imagem- RS","AD Versatilidade - Bongo - Frete sem preço",277844195704332,6662637016215,6662637322615,6853552721615,"AD Versatilidade - Bongo - Frete sem preço",18-24,unknown,2026-02-28,1,1,1,BRL,0.01,"Clique de 7 dias ou visualização de 1 dia",,,,0,10,,0,,30,Daily,"Using ad set budget",,2026-02-28,2026-02-28
